target_id,address,city,state,photo_urls
21,"5151 5151 Hidalgo St, Houston, TX 77056",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5045AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5045AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5045AP03.JPG
22,"1055 Memorial Bend Blvd, Missouri City, TX 77459",Missouri City,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6045CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6045CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6045CP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6045CP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6045CP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6045CP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6045CP07.JPG
23,"11918 Clay Rd, Houston, TX 77043",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3871CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3871CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3871CP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3871CP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3871CP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3871CP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3871CP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3871CP08.JPG
24,"20020 FM 1093 Rd, Richmond, TX 77407",Richmond,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3598CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3598CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3598CP03.JPG
25,"22103 Gosling Rd, Spring, TX 77389",Spring,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4105CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4105CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4105CP03.JPG
26,"19025 Stuebner Airline Rd, Spring, TX 77379",Spring,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4162CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4162CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4162CP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4162CP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4162CP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4162CP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4162CP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4162CP08.JPG
27,"10191 S Main St, Houston, TX 77025",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6447CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/6447CP02.JPG
28,"7110 New Forest Pkwy, Houston, TX 77049",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3482CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3482CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3482CP03.JPG
29,"6810 N Fry Rd, Katy, TX 77449",Katy,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3241CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3241CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3241CP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3241CP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3241CP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3241CP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3241CP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3241CP08.JPG
30,"2020 Grandway Dr, Katy, TX 77449",Katy,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP08.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP09.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP10.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP11.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP12.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP13.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP14.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP15.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP16.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP17.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP18.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP19.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4471CP20.JPG
